grammar,usage,meaning,examples
～たいです,V-Stemたいです,Want to ～,"フランス料理が食べたいです。
I want to eat French food.
父は新しいテレビが買いたいです。
My father wants to buy a new TV."
～たり～たりする,V-たり、V-たりする,Doing things like ～ and ～,"休みの日に本を読んだり、喫茶店に行ったりします。
On my days off, I do things like read and go to coffee shops.
本を読んだり、テレビを見たりするのが好きです。
I like doing things like reading books and watching TV."
～たことがあります,V-たことがあります,Have done ～,"この曲を聞いたことがあります。
I have heard this song.
彼はヨーロッパに行ったことがないです。
He has never been to Europe."
～や～や,,Like ～ and/or ～.  Indicates a list.,"いつも朝にりんごやオレンジを食べます。
I always eat things like apples and oranges in the morning.
トムはパソコンやエアコンの電気製品が好きです。
Tom likes electronics like computers and air conditioners."
"～んです
～のです",,Indicates an explanation or implies a request.,"明日映画を見に行きませんか？ごめん、明日は仕事が忙しいんです。
Won’t you go see a movie tomorrow?  Sorry, I’m busy with work tomorrow.
黒い靴を探しているんですが。
I am looking for black shoes.  (This is something you might say at a store. You are implying the question of do you sell black shoes? / where are the black shoes?)"
～すぎる,,Too ～,"ズボンが大きすぎるからベルトがないと落ちます。
These pants are too big so they will fall down without a belt.
今夜のパーティでお酒を飲みすぎないでね。
Don’t drink too much alcohol at tonight’s party."
～た方がいい,V-た方がいい,"It is better to ～
You should ～","明日忙しいから今日買い物した方が良いよ。
We’re busy tomorrow, so it’s better if you do your shopping today.
大事な発表なので、練習した方がいいですね。
You should practice because it is an important presentation."
～から～,,"Because ～, ～.  ～, so ～","さっき食べたから、あまりお腹が空いていない。
I just ate, so I’m not really hungry now."
～ので～,,"Because ～, ～.  ～, so ～","アマゾンの方が安いので、注文しましょう。
Amazon is cheaper, so let’s order it.
今日は雨なので、傘を忘れないでね。
Today is rain, so don’t forget your umbrella."
～なくちゃいけない,,You must ～,"テレビを見る前に宿題をやらなくちゃいけない。
You must do homework before you watch TV.
野菜も食べなくちゃいけない。
You must also eat vegetables."
～でしょう,,"Probably ～
As a question: Won’t you?  Isn’t it? (often rhetorical)","これは美味しいでしょう？
This is delicious, isn’t it?"
～前に,,Before ～,"食べる前に手を洗ってください。
Please wash your hands before you eat."
～た後で,V-た後で,After ～,"運動した後でシャワーします。
I will shower after exercising.
昼ご飯を食べた後で行きましょう。
Let’s go after eating lunch."
～てから,V-てから,After ～.  Usually this means “right/just after”.,"肉を焼いてから野菜を入れてください。
Put the vegetables in after cooking the meat.
食べてから走らない方が良いですよ。
You should not run just after eating."
～のです,,Indicates possession or a modifying phrase.,"この本は私のです。
This book is mine.
あのスーツはイタリアのです。
That suit is Italian."
～ました,,Verb past tense form,"昨日サッカー試合を見ました。
I watched the soccer game yesterday.
今朝8時に起きました。
I woke up at 8 this morning."
もう～ました,,I already ～,"あの映画を先週にもう見ました。
I already saw that movie last week.
もう食べましたか？
Have you already eaten?"
"～にする
～くする","na-adjにする
i-adjくする",To (purposefully) make it ～,"この部屋が暗いので、電気を明るくしてください。
This room is dark so please make the lights brighter.
いつもラーメンを食べているから今日はうどんにする。
I am always eating ramen, so today I will have udon."
～ながら,V-Stemながら,While ～.  Used when two actions occur at the same time.,"音楽を聞きながら日本語を勉強します。
I study Japanese while listening to music.
ジョンはアイスクリームを食べながら歩いています。
Jon is walking while eating ice cream."
"誰か
何か
どこか
いつか",,"Someone
Something
Somewhere
Sometime","授業の後どこかに行くつもりですか？
Do you intend to go somewhere after class?
何かを食べましたか？
Did you eat something?"
"何も
誰も",,"Nothing
No one; nobody","あの箱に何もないよ。
There is nothing in that box.
まだ早いから誰も来ていないです。
It is still early, so no one has come yet."
どこにも,,Nowhere; not anywhere,"授業の後どこにも行かないです。
I will not go anywhere after class.
探しましたが、私の鞄はどこにもありません。
I searched, but my bag was nowhere"
～ですね？,,"～, right? ～ isn’t it?  Used to confirm something.","明日の授業は9時からですね？
Tomorrow’s class is from 9, right?
あの店に美味しい日本料理がありますね？
There is delicious Japanese food at that restaurant, right?"
