grammar,usage,meaning,examples
～たびに,"V-るたびに
Nのたびに","Everytime ～.  Expresses that each time something happens, something else happens.","ジョンさんは会うたびに、別な女とデートしている。
Everytime I meet John he is dating another woman.
この曲を聴くたびに子供のときを思い出す。
I recall my childhood everytime I hear this song."
～について,Nについて,In regards to ～,"明日の予定について、田中さんと相談してください。
Please consult Tanaka-san in regards to tomorrow's schedule.
この文法点について質問がありますか？
Are there any questions in regards to this grammar point?"
～べき,"V-るべき
i-adj-くあるべき
na-adjであるべき
Nであるべき","Should ～.  Very strong statement, usually expressing a personal value or social norm.","お客様と話したら敬語を使うべきです。
You should use keigo when speaking with a customer.
山田さんと約束したから会いに行くべきだと思うよ。
I think you should go and meet Yamada-san because you made a promise with her."
～べきではない,"V-るべきではない
i-adj-くあるべきではない
na-adjであるべきではない
Nであるべきではない",Should not ～.  This is the negative of ～べき.,"電車で大きな声で話すべきではない。
You should not speak in a loud voice on the train.
暴力はダメだから殴ったりすべきではない。
Violence is bad so you shouldn't do things like hit others."
～ことはない,V-ることはない,There is no need to ～,"締め切りは来週なので、急ぐことはないですよ。
The deadline is next week, so there is no need to rush.
アマゾンで注文できるから店に行くことはない。
You can order it on Amazon, so there is no need to go to the store."
～はずがない,,～ is not possible; I cannot ～.,"日本語を勉強し始めたばかりだから、N1を合格するはずがない。
I just started studying Japanese, so I cant pass the N1.
毎日単語を100つ習えるはずがない。
It is not possible to learn 100 vocabulary everyday."
めったに～ない,めったにV-ない,Rarely; hardly ever.,"健康に良くないので、めったにマックドナルドで食べないです。
I rarely eat at McDonalds because it is not good for my health.
最近ネットフリックスがあるからめったに映画を見に行かない。
Since there is Netflix, I rarely go to see movies."
～わけです,,"Therefore ～; For this reason, ～.  Expresses a result or effect.","「今年災害で白菜があまりないんだね。」「値段が上がっているわけだね。」
""This year there is not a lot of Chinese cabbage due to the natural disaster.""  ""For that reason the price is increasing.""
「ジョンさんが面接を受かったらしいですよ。」「だから嬉しそうだったわけですね。」
""It seems John passed the interview.""  ""I see, that's why he seemed happy."""
～わけにはいかない,V-るわけにはいかない,Must not ～; Cannot ～.  Used when there is some existing reason you must not do something.,"水曜日にお客様との打ち合わせなので、仕事を休むわけにはいかない。
Wednesday is a meeting with a customer, so I cannot take off from work.
明日までにレポートを出さないといけないから、まだ寝るわけにはいかない。
I have to submit the report by tomorrow, so I cannot sleep yet."
～ないわけにはいかない,V-ないわけにはいかない,Must ～.  There is an existing reason you must do something.,"水曜日にお客様との打ち合わせなので、準備しないわけにはいかない。
Wednesday is a meeting with a customer, so I must prepare."
～わけがない,,～ cannot be; There is no way that ～,"1000万円のバッグは買えるわけがない。
There is no way I can buy a 10M yen bag.
あなたならできるわけがない。
There is no way you can do it."
～ないわけがない,,You can definitely ～; There is no reason ～ cannot be.,"サムは日本語がペラペラだし、N3を合格できないわけがないよ。
Sam, you are fluent in Japanese so there is no reason you cannot pass the N3.
あなたならできないわけがない。
You can definitely do it."
～とは限らない,,～ is not necessarily true; ～ is not always true.,"努力したから成績が良いとは限りません。
Your results will not always be good just because you tried hard.
本に書いてあることは真実とは限らない。
Things written in books are not always true."
～ついでに,"V-る、V-たついでに
Nのついでに",At the same time as ～; While you are ～.,"買い物のついでに郵便局に行ってくれる？
Will you go to the post office for me while you are shopping?
買い物に行くついでに手紙を出します。
I will mail the letter when I go shopping."
～ように言われた。,,I was told to ～.,"医師にお酒を控えるように言われました。
I was told to cut back on alcohol by the doctor.
先生にノートとペンを持つように言われた。
I was told to bring a pen and notebook by the teacher."
～ということです (Hearsay),,I have heard that ～.  Expresses hearsay.,"明日雨が降るということです。
I have heard that it will rain tomorrow.
新しい社員は頭が良いということです。
I have heard that the new employee is smart."
～ということです (Conclusion),,That means that ～.,"「このシャツは2枚買うと4000円です。」「一枚は2000円ということですね。」
""If you buy two of these shirts it is 4000 yen.""  ""So that means one is 2000 yen."""
～ていく,V-ていく,"1)  To ～ and go (to another place).
2)  To continue ～.  An action/state will continue into the future.
3)  ～ will progress.  Something that has been progressing will continue to progress into the future.
4)  ～ will stop/disappear.  Due to ～, something will disappear or stop.","日本語能力試験を合格しても日本語を勉強していきます。
I will continue studying Japanese even if I pass the JLPT.
食べるのが好きだから、体重がドンドン増えていく。
My weight will continue to increase because I like eating.  (I have been gaining weight and will probably continue to gain weight.)"
～てくる,V-てくる,"1)  ～ and come back.
2)  To continue ～.  An action/state from the past is continuing in the present.
3)  ～ has become apparent.  You are now able to see something that you could not before.
4)  Has become ～.  There has been some change and ～ has started.","スーパーで買ってくる。
I will buy it at the supermarket and come back.
日本人は昔から米を食べてきました。
Japanese people continue to eat rice (starting from long ago)."
NってN,NってN,"The ～ called ～.  This is a shortened, casual version of ～という～.","田中さんって人知り合っている？
Do you know ther person called Takana?
インフルエンザって病気かかったら怖いよね。
If you catch the sickness called influenze, it is scary."
V-Stem出す,V-Stem出す,～ starts (suddenly),"赤ちゃんはお腹が空いて、急に泣き出した。
The baby was hungry and suddenly started to cry.
傘持っていないので、雨が降り出したら困る。
I do not have an umbrella so it will be a problem if it rains."
V-ようとする,V-ようとする,"About to start to ～, will try to ～.","外で遊ぼうとしましたが、雨が降り出しました。
I was about to play outside , but it started to rain.
「娘は明日試験があるのに、勉強しようとしない。」「困ったね。」
""My daughter has a test tomorrow, but will not even try studying.""  ""That's tough."""
～こともある,V-る、V-ないこともある,Sometimes do ～; ～ occasionally happens.,"2月になると東京で雪が降ることもあります。
It sometimes snows in Tokyo in February.
仕事のストレスがあって、日本語の勉強を集中できないこともあります。
Sometimes I have stress from work and cannot concentrate on my Japanese studies."
～られてしまう,（Personに）（Objectを）V-られてしまう,"～ was done by someone else and it inconvenienced you.  Using the passive form with Personに or Objectを has a strong negative connotation.
られちゃう is the shortened, casual form of られてしまう.","プレゼントでもらったケーキを弟に食べられてしまった。
The cake I received as a present was eaten by my younger brother.
わざと作ってあげたのにピザが嫌いと言われてしまった。
Although I made it for her, she said she doesn't like pizza."
"～による
～によって
（方法）","NによるN
Nによって",Via ～.  Expresses the means or method of doing something.,"ウェビナーをホームページによって、登録をお願いします。
Please register for the webinar via our homepage.
ホームページによる登録人数が54人です。
The number of people who registered via our homepage is 54."
"～に対する
～に対して","Nに対するN
Nに対して","In regards to ～, as for ～, towards ～, for ～.
Often used for direct actions or feelings toward another person.  Often used to address a problem or refute an opinion.","お客さんに対して敬語を使います。
I used keigo towards customers.
この病気に対する薬がありません。
There is no medicine for this illness."
～につき～,,～ per ～,"1時間につき1000円です。
It is 1000 yen per hour."
～通り,"V-る、V-た通り
N（の）通り","In that way, in the same way as.","天気予報の通り、昨日は雨でした。
It rained yesterday, just as the weather report said.
思った通り試験は難しかった。
As I thought, the test was difficult."
V-ちゃいけない,"V-てはいけない　⇒　V-ちゃいけない
V-ではいけない　⇒　V-じゃいけない","Must not ～.
This is a shortened (and casual) form of V-てはいけない","見ちゃいけない
Must not see
20歳になる前にお酒を飲んじゃいけない。
You must not drink alcohol before you turn 20 years old."
V-なきゃいけない,V-なければいけない　⇒　V-なきゃいけない,"Must ～.
This is a shortened (and casual) form of V-なければいけない.","明日は仕事だから早く起きなきゃいけない。
Tomorrow is work, so I must wake up early.
国民の皆は税金を払わなきゃいけないよ。
All residents must pay taxes."
V-なくちゃいけない,V-なくてはいけない　⇒　V-なくちゃいけない,"Must ～.
This is a shortened (and casual) form ov V-なくてはいけない","レポートがあるから本を読まなくちゃいけない。
I must read the book because I have a report.
明日は試験だから勉強しなくちゃいけない。
I have a test tomorrow, so I must study."
V-なきゃ,,"Must ～.
This is the casual equivalent of V-なきゃいけない.  いけない is left off in casual conversation where it is understood.","レポートがあるから本を読まなきゃ。
I must read the book because I have a report.
明日は試験だから勉強しなきゃ。
I have a test tomorrow, so I must study."
～っけ,"～だっけ
～だったっけ","It was ～, right?
This is used to confirm something you are unsure about.","ジョンが見たい映画は来週出るんだっけ？
The movie that Jon wants to see is coming out next week, right?
試験は水曜日だったけ？
The test is on Wednesday, right?"
Nって,,"って has the same meaning as は.
This substitution is used mainly in conversation.","トムっていつ日本に来たの？
When did Tom come to Japan?"
～ほど～ない,,Not as ～ as ～,"今年の夏は去年ほど熱くない。
This summer is not as hot as last year.
エミリーほど日本語が上手ではないけど、なんとなく話せる。
I am not as good at Japanese as Emily, but I can manage to speak."
V-Stem、～,,"This conjuction has the same meaning as ""V-て、～"".  Often used in more formal situations.","明日渋谷に行き、お客さんに訪問します。
Tomorrow I will go to Shibuya and visit the customer.
情報を記入し、資料をあの箱に入れてください。
Please fill the information and put the documents in that box."
～きる,V-Stemきる,Do ～ completely; do ～ to the end,"お腹が空いて、ピザを一枚一人で食べきった。
I was hungry and ate one entire pizza by myself.
この本が面白くて、1日以内読みきった。
This book is interesting so I read it completely within a day."
"～というと
～といえば
～といったら","Nというと
Nといえば
Nといったら",As an example of ～; when speaking of ～.  This pattern is often used to express a famous/well known example of ～.,"大阪の料理といえば、焼きそばやお好み焼きが人気ですね。
When speaking of Osaka food, yakisoba or okonomiyaki are popular."
"～による
～によって
（理由・原因）","NによるN
Nによって",Resulting from ～.  Expresses a reason.,"地震による津波の心配はありません。
There is no reason to worry about a tsunami resulting from the earthquake.
お酒による交通事故
a traffic accident caused by alcohol"
～うちに,"V-るうちに
V-ているうちに",While ～; during ～.  Something changes or occurs at the same time as ～.,"アメリカと比べたらこのアパートは狭いと思いますが、住んているうちに慣れます。
I think this apartment is small compared to America, but you will get used to it while you live here.
最初は大変だったが、見ているうちに日本語のニュースが分かるようになった。
It was difficult in the beginning, but I came to understand Japanese news as I watched it."
～ばいいのに,"V-ばいいのに
i-adjばいいのに
na-adjならいいのに
Nならいいのに",Too bad it is not ～; If only it were ～.  Expresses disappointment that the current situation is not as the speaker hoped.,"もうちょっとゆっくりして話せばいいのに。
It is too bad we cannot take our time and talk a little more.
「もっと安ければいいのに。」「そうだね、買いたかった」
""If only it were a bit cheaper.""  ""Yeah, I wanted to buy one."""
～てもらってもいいですか？,"V-てもらってもいいですか？
V-ていただいてもいいですか？","Can I have you ～?  This is a request that is less direct that ～てください.
～ていただいてもいいですか is the polite form of ～てもらってもいいですか.","明日までに部屋を準備してもらってもいいですか？
Can I have you prepare the room by tomorrow?
すみません、もう一回言っていただいてもいいですか？
I'm sorry, can I have you say that one more time?"
～かのよう（に、な）,,It seems like ～ (but it actually not),"4月なのにとても暑くて、夏になったかのように感じた。
Although it was April, it was very hot and felt like it had become summer.
わがままで子供であるかのような言い方でした。
It was said in a way that was selfish and seemed like a child."
～向け,,Geared towards ～; made for ～,"この映画は子供向けなのに、大人も楽しめると思います。
This movie is geared towards children, but I think it can be enjoyed by adults also.
外国人向けのビサ相談サービス
a visa advisory service geared towards foreigners"
～最中（に）,"V-ている最中に
Nの最中に","While I was in the middle of ～; just as I was ～.
Something happened (interrupted you) while you were in the middle of doing something.","仕事の最中に友達から電話がきました。
A call came from my friend while I was working.
メールを書いている最中にパソコンの電源が切れた。
The power on my computer went out while I was in the middle of writing an email."
～しかない,"V-るしかない
Nしかない",～ is the only option; have no choice but to ～.,"合格するかどうか分からないけど、頑張るしかない。
I don't know if I will pass or not, but I have no choice but to try.
仕事だから行くしかない。
I have no choice but to go because it is work."
～からこそ,,Especially because ～,"「難しくて、合格できないかも。」「難しいからこそ、頑張るしかない。」
""It is difficult and I probably cannot pass.""  ""You must try hard especially because it is difficult.""
子供が使うからこそ洗いたいです。
I want to wash it especially because the child will use it."
からといって,,"Just because …, does not mean …
Eventhough …, you still should not …","運動したからといって、何でも食べられるわけがないよ。
Just because you excercised does not mean you can eat anything.
日本語能力試験が終わったからといって、復習しないと忘れちゃうよ。
Eventhough the JLPT is over, if you do not review, you will forget it all."
～ぎみ,"V-Stemぎみ
Nぎみ",Feel (slightly) like ～.  Often used to describe your physical or mental state.,"今朝から頭痛があって、風邪をひきぎみです。
I have had a headache from this morning and feel like I am catching a cold.
今朝から頭痛があって、風邪ぎみです。
I have had a headache from this morning and feel like I have a cold."
～っぱなし,V-Stemっぱなし,Leave in the state of ～.  This has a negative connotation.,"電気をつけっぱなしで出かけないで。
Don't go out and leave the lights on.
ドアを開けっぱなしにしないで。
Do not leave the door open."
～とか～とか,,"～や～や.  Indicates examples, etc.","トーストとかフルーツとか、洋食の朝ご飯が好きです。
I like western style breakfast like toast and fruits.
テレビが好きで、毎日ドラマとか見ています。
I like TV and watch drama and other things everyday."
～てはいけない,V-てはいけない,Must not ～,"明日会議があるので、仕事を休んではいけない。
I have a conference tomorrow, so I must not take off from work.
税金の支払いを忘れてはいけない。
You must not forget to pay your taxes."
～なくてはいけない,V-なくてはいけない,Must ～,"明日会議があるので、会社に行かなくてはいけない。
I have a conference tomorrow, so I must go to work.
税金を支払わなくてはいけない。
You must pay your taxes."
～でございます,"です⇒でございます
でした⇒でございました",Humble form of です,"こちらは上司の田中でございます。
This is my superior, Yamada.
そちらは紅茶、こちらはお茶でございます。
That is black tea and this is green tea."
～だそうです,"V-Plainそうです
i-adj-いそうです
na-adjだそうです
Nだそうです","It seems that ～; I heard that ～.
This expresses something you heard (or read).","天気予報によると明日降らないそうです。
According to the weather report, it seems it will not rain tomorrow.
あの店は人気だそうです。
I heard that store is popular."
